gameId,date,fibaZone,competition,round,team,team_short,Win,Loss,Differential
132955,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Côte d'Ivoire,CIV,0,1,-54
132955,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Spain,ESP,1,0,54
132956,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Japan,JPN,1,0,27
132956,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Egypt,EGY,0,1,-27
132957,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Slovenia,SLO,1,0,22
132957,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Italy,ITA,0,1,-22
132958,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Colombia,COL,0,1,-20
132958,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,New Zealand,NZL,1,0,20
132959,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Czechia,CZE,0,1,-27
132959,2026-07-15,World,FIBA U17 Women's Basketball World Cup,Round of 16,Canada,CAN,1,0,27
132960,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Mexico,MEX,0,1,-10
132960,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Italy,ITA,1,0,10
132961,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Germany,GER,0,1,-4
132961,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Egypt,EGY,1,0,4
132962,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Latvia,LAT,1,0,13
132962,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Czechia,CZE,0,1,-13
132963,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Côte d'Ivoire,CIV,0,1,-15
132963,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Class 9-16,Colombia,COL,1,0,15
132964,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,USA,USA,1,0,20
132964,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,Slovenia,SLO,0,1,-20
132965,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,Australia,AUS,1,0,6
132965,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,Japan,JPN,0,1,-6
132966,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,People 's Republic of China,CHN,0,1,-1
132966,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,Canada,CAN,1,0,1
132967,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,Spain,ESP,1,0,29
132967,2026-07-17,World,FIBA U17 Women's Basketball World Cup,Quarter-Finals,New Zealand,NZL,0,1,-29
132968,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 13-16,Mexico,MEX,0,1,-8
132968,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 13-16,Czechia,CZE,1,0,8
132969,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 13-16,Germany,GER,1,0,33
132969,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 13-16,Côte d'Ivoire,CIV,0,1,-33
132970,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 5-8,Slovenia,SLO,0,1,-2
132970,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 5-8,People 's Republic of China,CHN,1,0,2
132971,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 5-8,Japan,JPN,0,1,-25
132971,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 5-8,New Zealand,NZL,1,0,25
132972,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,USA,USA,1,0,26
132972,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,Canada,CAN,0,1,-26
132973,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,Australia,AUS,0,1,-7
132973,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Semi-Finals,Spain,ESP,1,0,7
132974,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 15-16,Mexico,MEX,1,0,16
132974,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 15-16,Côte d'Ivoire,CIV,0,1,-16
132975,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 13-14,Czechia,CZE,0,1,-26
132975,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 13-14,Germany,GER,1,0,26
132976,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 11-12,Latvia,LAT,1,0,14
132976,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 11-12,Colombia,COL,0,1,-14
132977,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 9-10,Italy,ITA,0,1,-17
132977,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 9-10,Egypt,EGY,1,0,17
132978,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 7-8,Slovenia,SLO,0,1,-9
132978,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 7-8,Japan,JPN,1,0,9
132979,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 5-6,People 's Republic of China,CHN,0,1,-15
132979,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Class 5-6,New Zealand,NZL,1,0,15
132980,2026-07-19,World,FIBA U17 Women's Basketball World Cup,3rd Place Game,Canada,CAN,0,1,-7
132980,2026-07-19,World,FIBA U17 Women's Basketball World Cup,3rd Place Game,Australia,AUS,1,0,7
132981,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Final,USA,USA,1,0,9
132981,2026-07-19,World,FIBA U17 Women's Basketball World Cup,Final,Spain,ESP,0,1,-9
132982,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 9-12,Italy,ITA,1,0,4
132982,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 9-12,Latvia,LAT,0,1,-4
132983,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 9-12,Egypt,EGY,1,0,36
132983,2026-07-18,World,FIBA U17 Women's Basketball World Cup,Class 9-12,Colombia,COL,0,1,-36
