gameId,nationality,teamId,shortCode,AS,BS,DR,OR,REB,FD,FG2A,FG2M,FG2P,FG3A,FG3M,FG3P,FGA,FGM,FGP,FTA,FTM,FTP,FGIA,FGIM,FGIP,PF,PTS,ST,TO,ID,10+ ppg,MP,opp_nationality,opp_teamId,opp_shortCode,opp_AS,opp_BS,opp_DR,opp_OR,opp_REB,opp_FD,opp_FG2A,opp_FG2M,opp_FG2P,opp_FG3A,opp_FG3M,opp_FG3P,opp_FGA,opp_FGM,opp_FGP,opp_FTA,opp_FTM,opp_FTP,opp_FGIA,opp_FGIM,opp_FGIP,opp_PF,opp_PTS,opp_ST,opp_TO
132959,Czechia,886,CZE,11,6,30,21,51,11,53,14,26.4,23,2,8.7,76,16,21.1,14,6,42.9,47,13,27.7,19,40,13,21,1,1,200,Canada,34,CAN,13,9,41,23,64,19,40,14,35,31,9,29,71,23,32.4,23,12,52.2,31,14,45.2,11,67,12,22
132959,Canada,34,CAN,13,9,41,23,64,19,40,14,35,31,9,29,71,23,32.4,23,12,52.2,31,14,45.2,11,67,12,22,2,3,200,Czechia,886,CZE,11,6,30,21,51,11,53,14,26.4,23,2,8.7,76,16,21.1,14,6,42.9,47,13,27.7,19,40,13,21
132957,Slovenia,618,SLO,14,3,29,15,44,21,48,20,41.7,11,3,27.3,59,23,39,30,17,56.7,43,20,46.5,13,66,15,18,1,4,200,Italy,83,ITA,10,4,26,13,39,13,32,13,40.6,26,4,15.4,58,17,29.3,12,6,50,24,10,41.7,21,44,10,23
132957,Italy,83,ITA,10,4,26,13,39,13,32,13,40.6,26,4,15.4,58,17,29.3,12,6,50,24,10,41.7,21,44,10,23,2,2,200,Slovenia,618,SLO,14,3,29,15,44,21,48,20,41.7,11,3,27.3,59,23,39,30,17,56.7,43,20,46.5,13,66,15,18
132956,Japan,85,JPN,14,2,37,9,46,18,35,20,57.1,28,7,25,63,27,42.9,23,19,82.6,28,17,60.7,22,80,8,11,1,3,200,Egypt,53,EGY,10,1,28,20,48,22,45,16,35.6,28,3,10.7,73,19,26,21,12,57.1,44,16,36.4,18,53,6,12
132956,Egypt,53,EGY,10,1,28,20,48,22,45,16,35.6,28,3,10.7,73,19,26,21,12,57.1,44,16,36.4,18,53,6,12,2,3,200,Japan,85,JPN,14,2,37,9,46,18,35,20,57.1,28,7,25,63,27,42.9,23,19,82.6,28,17,60.7,22,80,8,11
132963,Côte d'Ivoire,44,CIV,12,3,22,12,34,24,44,12,27.3,17,5,29.4,61,17,27.9,27,12,44.4,37,12,32.4,20,51,14,19,1,2,200,Colombia,40,COL,19,8,38,10,48,20,27,10,37,22,9,40.9,49,19,38.8,30,19,63.3,19,10,52.6,24,66,16,29
132963,Colombia,40,COL,19,8,38,10,48,20,27,10,37,22,9,40.9,49,19,38.8,30,19,63.3,19,10,52.6,24,66,16,29,2,2,200,Côte d'Ivoire,44,CIV,12,3,22,12,34,24,44,12,27.3,17,5,29.4,61,17,27.9,27,12,44.4,37,12,32.4,20,51,14,19
132965,Australia,16,AUS,15,3,30,14,44,15,36,17,47.2,23,7,30.4,59,24,40.7,15,15,100,35,17,48.6,11,70,3,16,1,3,200,Japan,85,JPN,6,0,21,5,26,11,38,22,57.9,24,5,20.8,62,27,43.6,6,5,83.3,29,19,65.5,15,64,7,9
132965,Japan,85,JPN,6,0,21,5,26,11,38,22,57.9,24,5,20.8,62,27,43.6,6,5,83.3,29,19,65.5,15,64,7,9,2,2,200,Australia,16,AUS,15,3,30,14,44,15,36,17,47.2,23,7,30.4,59,24,40.7,15,15,100,35,17,48.6,11,70,3,16
132961,Germany,64,GER,15,3,33,15,48,15,35,10,28.6,32,8,25,67,18,26.9,14,10,71.4,30,10,33.3,21,54,10,20,1,1,200,Egypt,53,EGY,16,5,34,8,42,21,35,16,45.7,18,3,16.7,53,19,35.9,34,17,50,34,16,47.1,15,58,9,19
132961,Egypt,53,EGY,16,5,34,8,42,21,35,16,45.7,18,3,16.7,53,19,35.9,34,17,50,34,16,47.1,15,58,9,19,2,3,200,Germany,64,GER,15,3,33,15,48,15,35,10,28.6,32,8,25,67,18,26.9,14,10,71.4,30,10,33.3,21,54,10,20
132967,Spain,138,ESP,22,4,30,25,55,16,57,23,40.4,36,9,25,93,32,34.4,17,11,64.7,50,22,44,27,84,17,11,1,3,200,New Zealand,113,NZL,18,2,36,12,48,27,33,11,33.3,21,5,23.8,54,16,29.6,34,18,52.9,28,10,35.7,16,55,5,25
132967,New Zealand,113,NZL,18,2,36,12,48,27,33,11,33.3,21,5,23.8,54,16,29.6,34,18,52.9,28,10,35.7,16,55,5,25,2,2,200,Spain,138,ESP,22,4,30,25,55,16,57,23,40.4,36,9,25,93,32,34.4,17,11,64.7,50,22,44,27,84,17,11
132962,Latvia,610,LAT,13,3,31,14,45,31,29,11,37.9,19,5,26.3,48,16,33.3,42,35,83.3,28,11,39.3,22,72,9,25,1,3,200,Czechia,886,CZE,14,5,21,18,39,22,56,22,39.3,14,2,14.3,70,24,34.3,20,9,45,47,20,42.6,32,59,15,21
132962,Czechia,886,CZE,14,5,21,18,39,22,56,22,39.3,14,2,14.3,70,24,34.3,20,9,45,47,20,42.6,32,59,15,21,2,0,200,Latvia,610,LAT,13,3,31,14,45,31,29,11,37.9,19,5,26.3,48,16,33.3,42,35,83.3,28,11,39.3,22,72,9,25
132966,People 's Republic of China,39,CHN,19,2,27,19,46,14,49,24,49,31,5,16.1,80,29,36.3,10,5,50,41,21,51.2,16,68,12,16,1,3,200,Canada,34,CAN,16,5,33,13,46,16,39,21,53.9,25,5,20,64,26,40.6,18,12,66.7,34,19,55.9,14,69,8,21
132966,Canada,34,CAN,16,5,33,13,46,16,39,21,53.9,25,5,20,64,26,40.6,18,12,66.7,34,19,55.9,14,69,8,21,2,4,200,People 's Republic of China,39,CHN,19,2,27,19,46,14,49,24,49,31,5,16.1,80,29,36.3,10,5,50,41,21,51.2,16,68,12,16
132960,Mexico,104,MEX,14,2,27,11,38,18,44,17,38.6,19,4,21.1,63,21,33.3,28,16,57.1,39,16,41,20,62,9,13,1,2,200,Italy,83,ITA,21,5,36,21,57,20,29,12,41.4,33,10,30.3,62,22,35.5,33,18,54.6,22,12,54.6,18,72,7,23
132960,Italy,83,ITA,21,5,36,21,57,20,29,12,41.4,33,10,30.3,62,22,35.5,33,18,54.6,22,12,54.6,18,72,7,23,2,4,200,Mexico,104,MEX,14,2,27,11,38,18,44,17,38.6,19,4,21.1,63,21,33.3,28,16,57.1,39,16,41,20,62,9,13
132964,USA,154,USA,19,5,20,18,38,20,61,29,47.5,11,3,27.3,72,32,44.4,17,10,58.8,51,26,51,14,77,13,9,1,4,200,Slovenia,618,SLO,19,6,24,12,36,14,36,19,52.8,16,4,25,52,23,44.2,11,7,63.6,27,15,55.6,20,57,5,26
132964,Slovenia,618,SLO,19,6,24,12,36,14,36,19,52.8,16,4,25,52,23,44.2,11,7,63.6,27,15,55.6,20,57,5,26,2,2,200,USA,154,USA,19,5,20,18,38,20,61,29,47.5,11,3,27.3,72,32,44.4,17,10,58.8,51,26,51,14,77,13,9
