gameId,nationality,teamId,shortCode,PTS,Possessions,ORTG,10+ ppg,DRTG,EFG%,TO/Poss,DRB rt,AST/FG%
132960,Mexico,104,MEX,62,78.07856382978723,79.4,2,92.2,36.5,16.6,56.2,66.7
132960,Italy,83,ITA,72,78.07856382978723,92.2,4,79.4,43.5,29.5,76.6,95.5
132964,USA,154,USA,77,70.11044642857144,109.8,4,81.3,46.5,12.8,62.5,59.4
132964,Slovenia,618,SLO,57,70.11044642857144,81.3,2,109.8,48.1,37.1,57.1,82.6
132969,Germany,64,GER,80,91.10813953488372,87.8,3,51.6,47.1,35.1,67.9,85.2
132969,Côte d'Ivoire,44,CIV,47,91.10813953488372,51.6,2,87.8,23.6,31.8,62.8,75
132971,Japan,85,JPN,52,73.48529177718834,70.8,3,104.8,29.7,12.2,48.7,76.5
132971,New Zealand,113,NZL,77,73.48529177718834,104.8,4,70.8,52.5,31.3,75.9,92.3
132982,Italy,83,ITA,63,67.35952380952381,93.5,4,87.6,34.5,10.4,76.2,58.3
132982,Latvia,610,LAT,59,67.35952380952381,87.6,3,93.5,39.7,14.8,60,55
132970,Slovenia,618,SLO,71,68.47648148148149,103.7,3,106.6,54.4,23.4,71.8,51.7
132970,People 's Republic of China,39,CHN,73,68.47648148148149,106.6,2,103.7,46.1,13.1,70.4,64
132968,Mexico,104,MEX,66,80.01933333333332,82.5,3,92.5,41.2,22.5,68.2,73.1
132968,Czechia,886,CZE,74,80.01933333333332,92.5,3,82.5,44.5,22.5,68.9,69
132973,Australia,16,AUS,51,65.33409136047666,78.1,2,88.8,38.9,32.1,58.5,63.2
132973,Spain,138,ESP,58,65.33409136047666,88.8,2,78.1,36.4,18.4,57.9,85.7
132983,Egypt,53,EGY,72,79.45833024118738,90.6,2,45.3,44.9,20.1,83.7,75
132983,Colombia,40,COL,36,79.45833024118738,45.3,0,90.6,23.8,26.4,72.7,57.1
132972,USA,154,USA,86,78.01910742086145,110.2,4,76.9,44.5,24.4,61,76.7
132972,Canada,34,CAN,60,78.01910742086145,76.9,3,110.2,36.6,32,48.9,88.9
114387,Australia,16,AUS,76,78.47311904761904,96.8,4,82.8,40.8,19.1,54.8,67.9
114387,Latvia,610,LAT,65,78.47311904761904,82.8,3,96.8,40.9,37,60,77.8
114390,Côte d'Ivoire,44,CIV,24,86.96836996336997,27.6,1,134.5,22.3,52.9,34.6,88.9
114390,USA,154,USA,117,86.96836996336997,134.5,6,27.6,50.6,13.8,76.2,61.4
114406,Egypt,53,EGY,65,84.06855384615385,77.3,3,94,37,23.8,64.1,48
114406,New Zealand,113,NZL,79,84.06855384615385,94,4,77.3,53.8,29.7,68,76.7
114405,Italy,83,ITA,54,73.3178037735849,73.7,2,94.1,35.7,21.8,58.5,76.2
114405,Canada,34,CAN,69,73.3178037735849,94.1,2,73.7,37.9,20.5,68,81
114399,Japan,85,JPN,70,72.73460269214068,96.2,3,66,39.3,13.7,74.5,58.3
114399,Colombia,40,COL,48,72.73460269214068,66,2,96.2,29.2,23.4,65.3,57.1
114400,Czechia,886,CZE,55,74.42153846153846,73.9,1,84.7,33.8,24.2,59,60
114400,Slovenia,618,SLO,63,74.42153846153846,84.7,3,73.9,35.8,28.2,61.5,100
114391,Mexico,104,MEX,51,74.31021538461539,68.6,1,107.7,29.9,10.8,64,88.2
114391,People 's Republic of China,39,CHN,80,74.31021538461539,107.7,3,68.6,45.8,13.5,84.6,82.1
114394,Germany,64,GER,40,78.40645161290323,51,0,84.2,34.1,43.4,48.4,118.2
114394,Spain,138,ESP,66,78.40645161290323,84.2,1,51,33.3,21.7,80.6,80.8
